Month,Revenue,COGS,Marketing,Payroll,Other_OpEx
2026-01-01,118000,48380,16520,21000,8500
2026-02-01,124000,49600,17980,21200,8600
2026-03-01,132000,53460,19800,21500,8700
2026-04-01,128000,53760,18944,21800,8800
2026-05-01,141000,55695,21150,22000,9000
2026-06-01,149000,58110,22648,22500,9200
2026-07-01,155000,59675,23250,23000,9400
2026-08-01,162000,61560,23976,23500,9600
2026-09-01,170000,64600,24650,24000,9800
2026-10-01,178000,66750,25454,24500,10000
2026-11-01,187000,69190,26180,25000,10200
2026-12-01,196000,72520,27440,25500,10400
