month,region,cohort,actual_revenue,budget_revenue,actual_cogs_pct,budget_cogs_pct,actual_marketing_pct,budget_marketing_pct
2026-01,North,A,118000,112000,0.41,0.43,0.14,0.15
2026-02,North,A,124000,121000,0.40,0.41,0.145,0.14
2026-03,North,A,132000,137000,0.405,0.40,0.15,0.145
2026-04,North,B,128000,125000,0.42,0.44,0.148,0.16
2026-05,North,B,141000,146000,0.395,0.39,0.15,0.14
2026-06,North,B,149000,152000,0.39,0.38,0.152,0.145
2026-01,South,A,92000,88000,0.44,0.46,0.13,0.15
2026-02,South,A,97000,101000,0.43,0.42,0.135,0.13
2026-03,South,A,104000,107000,0.425,0.41,0.14,0.135
2026-04,South,B,111000,108000,0.415,0.43,0.145,0.15
2026-05,South,B,119000,124000,0.405,0.40,0.15,0.14
2026-06,South,B,127000,131000,0.40,0.39,0.152,0.145
